iso,country,region,year,traffic_eb,broadband_subs,mobile_broadband_penetration,cellular_subs,cov_5g,cov_4g,cov_3g,cov_2g,region_adoption_factor,5g_penetration_rate,5g_penetration_pct,estimated_5g_subscriptions,synthetic_5g_subscription_flag,gdp_per_capita,urbanization_rate,log_gdp_per_capita,mobile_traffic_per_sub,traffic_growth_rate
BGR,Bulgaria,Europe,2021,0.482278,7603071.0,110.554344230413,7902756.0,57.62,99.85,99.99,99.99,0.16,0.092192,9.219199999999999,728570.8811519999,True,12966.1457543396,73.346765618041,9.470097066944287,5.2860000035950385,47.51856372553627
BGR,Bulgaria,Europe,2022,0.799876,7839138.0,114.844626262697,7964361.0,85.7,99.86,99.99,99.99,0.275,0.23567500000000002,23.567500000000003,1877000.7786750002,True,13999.1949530956,73.4799164005224,9.5467551035937,8.503018231511339,60.859217285818914
BGR,Bulgaria,Europe,2023,1.34522807,8015762.0,117.951653395485,8014473.0,86.3,99.86,99.99,99.99,0.38,0.32794,32.794000000000004,2628266.27562,True,15853.208636704,73.7322671584613,9.671127196464631,13.985237980701855,64.47380918076779
BGR,Bulgaria,Europe,2024,1.58545261,8106319.0,119.956970496867,7978611.0,90.18,99.75,99.99,99.99,0.46,0.41482800000000003,41.482800000000005,3309751.243908,True,17596.0173663521,73.9499356882481,9.775427869416982,16.298525981192366,16.540926966581495
BHR,Bahrain,Middle East & North Africa,2019,0.329631869,2011700.0,135.406920783216,1918635.0,0.0,100.0,100.0,100.0,0.0108,0.0,0.0,0.0,True,27259.7438599327,100.0,10.213166309019025,13.654780740998492,
BHR,Bahrain,Middle East & North Africa,2020,0.502528,1861240.0,125.498541208582,1770966.0,100.0,100.0,100.0,100.0,0.054,0.054,5.4,95632.164,True,24342.8444554718,100.0,10.099993223126496,22.49969554347281,64.77522393250486
BHR,Bahrain,Middle East & North Africa,2021,0.582629,1978421.0,131.739807319925,1923443.0,100.0,100.0,100.0,100.0,0.1728,0.1728,17.28,332370.95040000003,True,27147.8083882286,100.0,10.209051599755004,24.540993381422187,9.072557599747434
BHR,Bahrain,Middle East & North Africa,2022,0.443598,2218644.0,144.682316253646,2141263.0,100.0,100.0,100.0,100.0,0.297,0.297,29.7,635955.1109999999,True,30470.5219276023,100.0,10.324515001061876,16.661753755897745,-32.106441263657715
BHR,Bahrain,Middle East & North Africa,2023,0.603499,2227330.0,141.898340156441,2415715.0,100.0,100.0,100.0,100.0,0.4104,0.4104,41.04,991409.436,True,29290.1284215098,100.0,10.285005824295261,22.579313946893066,35.51583031228442
BHR,Bahrain,Middle East & North Africa,2024,0.7583814,2342111.0,145.739862319071,2563824.0,100.0,100.0,100.0,100.0,0.4968,0.4968,49.68,1273707.7632000002,True,29653.5682731534,100.0,10.297337743665537,26.983541770650493,19.50558743333055
BHS,Bahamas,Latin America,2022,0.0562,403993.0,101.623744145214,403993.0,0.0,95.0,98.0,99.0,0.209,0.0,0.0,0.0,True,34957.1613279737,81.3200717047725,10.461878628760337,11.592610102980332,
BHS,Bahamas,Latin America,2023,0.0562,399630.0,100.047566593231,399630.0,0.0,95.0,98.0,99.0,0.2888,0.0,0.0,0.0,True,38231.774484278,81.3213799173676,10.551422241628911,11.719173568884552,1.091759877887033
BHS,Bahamas,Latin America,2024,0.03910103,387960.0,96.6798992232414,387960.0,0.0,95.0,98.0,99.0,0.3496,0.0,0.0,0.0,True,39455.4466548546,81.3249262966481,10.5829273815058,8.39885340413101,-28.33237467844394
BIH,Bosnia and Herzegovina,Europe,2019,0.042297853,1560403.0,46.6413871870342,3755521.0,0.0,82.0,95.0,100.0,0.01,0.0,0.0,0.0,True,6122.37541352353,49.4650440037758,8.719705439664365,2.258917140849725,
BIH,Bosnia and Herzegovina,Europe,2020,0.065921,1623723.0,49.2134357414144,3509674.0,0.0,82.0,95.0,100.0,0.05,0.0,0.0,0.0,True,6130.31187968266,49.9710852122997,8.721000905235165,3.383222795185303,49.77188556427765
BIH,Bosnia and Herzegovina,Europe,2021,0.085924,1833519.0,56.5045161540839,3728775.0,0.0,93.0,97.0,100.0,0.16,0.0,0.0,0.0,True,7295.34378682258,50.4899479477034,8.89499158621009,3.905240869242878,15.429609743717275
BIH,Bosnia and Herzegovina,Europe,2022,0.132272,2098390.0,65.476431929336,3811931.0,0.0,99.0,99.0,100.0,0.275,0.0,0.0,0.0,True,7655.59421024383,51.0215287060993,8.943191928886375,5.252916124584403,34.5094016083777
BIH,Bosnia and Herzegovina,Europe,2023,0.185798,2081977.0,65.3666964619021,3749904.0,0.0,98.0,98.0,100.0,0.38,0.0,0.0,0.0,True,8663.02326458629,51.5657239834305,9.066819047398054,7.436761629291134,41.57396487802308
BIH,Bosnia and Herzegovina,Europe,2024,0.222787,2197175.0,69.4373996011065,3836099.0,0.0,98.0,98.0,100.0,0.46,0.0,0.0,0.0,True,9358.78768951134,52.1224302754935,9.1440710407318,8.449751764576483,13.62138771929291
BLR,Belarus,Europe,2019,0.564648437,8457243.0,89.6329352199409,11627249.0,0.0,75.7,99.9,99.9,0.01,0.0,0.0,0.0,True,6837.77339645635,77.4550771852757,8.830217430787368,5.563755991954667,
BLR,Belarus,Europe,2020,0.85,8653920.0,92.5459504409394,11704084.0,0.0,89.5,99.9,99.9,0.05,0.0,0.0,0.0,True,6542.85579976768,77.7890385790408,8.78612901577126,8.185115338867627,47.11492291724353
BLR,Belarus,Europe,2021,1.0742,9054903.0,97.8763998609935,11760087.0,0.0,97.4,99.9,99.9,0.16,0.0,0.0,0.0,True,7489.71894713888,78.131086803694,8.921286552060753,9.885988471291926,20.780075319740178
